,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0610005C13Rik,6.28040937061498,-0.442170365350754,0.965776336817786,-0.457839303464089,0.647067896304234,1
0610009B22Rik,529.513851891921,-0.183570900824983,0.23458524080935,-0.78253388913829,0.433900877056196,1
0610009E02Rik,11.6687076506191,-0.487185485087351,0.82551265846163,-0.590161132108182,0.55508262742315,1
0610009L18Rik,148.100071091238,-0.119439437480208,0.319040956961201,-0.37437023326987,0.708128885866043,1
0610010F05Rik,440.703186102702,-0.0861831904241675,0.235783755957389,-0.365517930080572,0.714724825085127,1
0610010K14Rik,5.85795469438202,0.213756759755459,0.948326361249234,0.225404215774279,0.821664832313823,1
0610012D04Rik,6.93844838097508,-0.119203481041802,1.05035916515667,-0.113488304759088,0.909643434628628,1
0610012G03Rik,1823.70436845688,-0.0969375242202193,0.202118738477465,-0.479606814046226,0.631507000202075,1
0610025J13Rik,21.27986406442,0.611271451782616,0.571195674585225,1.07016120566125,0.284546753098556,1
0610030E20Rik,320.399428359721,0.0331572477251447,0.22572560015021,0.146891835498854,0.883217396345347,1
0610038B21Rik,18.5041216353414,-0.315511277736082,0.674102921622286,-0.468046150841146,0.639751586622067,1
0610039K10Rik,3.20213126356783,0.925204761435622,2.13223535001708,0.433913058156649,0.664351576914405,1
0610040B10Rik,55.1962089229994,0.0979704321652649,0.4016074327868,0.243945764363565,0.807272824783621,1
0610040J01Rik,96.0663460140791,0.387304208107815,0.503572757064619,0.769112710475948,0.441826403293163,1
0610043K17Rik,4.95043895423026,1.17398132596938,1.387021410376,0.84640461725182,0.397327063601868,1
1010001B22Rik,8.97234511044076,-0.39481996340019,0.890892097734757,-0.443173718123762,0.657640087293502,1
1110002E22Rik,3334.94263460586,0.10914694366906,0.185544098549741,0.588253383008027,0.556362230607555,1
1110002J07Rik,2.17690855841137,-0.789398160421251,1.71888024762419,-0.459251400155621,0.64605364340961,1
1110002L01Rik,67.1506175156374,-0.110059296609532,0.354669307508316,-0.310315255026547,0.756321231535042,1
1110002O04Rik,11.0044611250259,-0.807591050724153,0.946775459413196,-0.852991110716676,0.393664233786459,1
1110003F10Rik,1.43284141095,2.19615101859993,2.10429039151856,1.04365396879234,0.29664551390614,1
1110004F10Rik,1190.35814316622,-0.0303397419552346,0.13554149606797,-0.22384098475658,0.822881037780948,1
1110006O24Rik,5.1222410812376,0.170052946467209,1.04322343319011,0.163007215000144,0.87051275390673,1
1110008P14Rik,389.582979015625,-0.124219625762267,0.279913248119948,-0.443779015807913,0.657202361195385,1
1110012L19Rik,231.20883875938,-0.261094965387547,0.263586491379223,-0.990547596052292,0.321906537189584,1
1110013H19Rik,8.23985280978762,-0.678186782811505,1.47727808162196,-0.459078619826877,0.646177709375207,1
1110018N20Rik,47.3383753510165,-0.620900868037123,0.370910779473927,-1.67398981749132,0.0941326005597045,1
1110019D14Rik,118.172318056751,-0.129116038686535,0.300815481945718,-0.429220058260944,0.667763087117633,1
1110020A21Rik,23.8377927128634,-0.464314981104416,0.775577704775718,-0.598669840875179,0.54939307257424,1
1110025M09Rik,9.31246312030023,1.08426572760073,1.05808387535943,1.02474459052918,0.305483717229576,1
1110032A03Rik,254.607087148658,-0.268678875719386,0.234538124345036,-1.14556589240956,0.251974816659424,1
1110032F04Rik,4.81699952013962,-0.398644512233102,1.02062883538012,-0.390587154128984,0.696102422387339,1
1110035H17Rik,1.91523070474743,0.984370502261131,1.99998264291245,0.492189522618883,0.622585370526584,1
1110038B12Rik,36.3384464191333,-0.11188433390425,0.409411393899484,-0.273280948140195,0.784637259314859,1
1110038F14Rik,263.705260331075,-0.0888936626129396,0.209476737324533,-0.424360545940816,0.671302889668047,1
1110046J04Rik,25.4129778738745,-0.0762802806706069,0.652050295484006,-0.116985271226639,0.906871725191832,1
1110051M20Rik,271.631875137484,0.0744865579733629,0.198938136411438,0.374420708452361,0.708091338454485,1
1110059E24Rik,302.209791390438,-0.363485340845864,0.278654345127451,-1.30443090948255,0.192086702108341,1
1110059G10Rik,285.007261769861,0.350867015199101,0.300366630538467,1.16812914460605,0.242754675880164,1
1110065P20Rik,146.22925163909,-0.236809754312014,0.424290128057484,-0.558131661927166,0.576754481522712,1
1190005I06Rik,4.24476137419039,-0.111849010251809,1.42873668983498,-0.0782852509126283,0.937601149521134,1
1190007I07Rik,272.786403780451,-0.230964608314839,0.23397525060665,-0.987132646363215,0.323577615318817,1
1200007C13Rik,7.99404833084179,0.441159333931221,1.00403648650718,0.43938575924259,0.660382043424954,1
1300002E11Rik,113.025629575356,0.133007478387998,0.300810155286669,0.442164189108719,0.658370397870274,1
1300014J16Rik,6.60005541937207,0.604305996457994,1.19269232401614,0.506673837241714,0.612383690669478,1
1500002C15Rik,9.87897752289401,-0.977381551707568,0.908592717338449,-1.07570920727895,0.282057328356124,1
1500002F19Rik,17.1247499732851,-0.430220389165104,0.973375875116918,-0.441987931037871,0.658497939428397,1
1500004A13Rik,40.2464951181743,-0.336512217319993,0.393218503984608,-0.855789373872307,0.392114293912245,1
1500009L16Rik,110.491568172004,0.554318943285102,0.421534837406487,1.31500149950969,0.188509398520359,1
1500011B03Rik,49.065471881644,-0.0364470831170174,0.349754166581246,-0.104207716732235,0.917004510249398,1
1500012K07Rik,1.94508939149266,0,2.99943759604217,0,1,1
1500015A07Rik,37.9783305398169,0.00204586498610452,0.405921262869139,0.0050400537573319,0.995978635946626,1
1500026H17Rik,15.3540734455983,-0.0203853336820042,0.648287126826455,-0.0314449151285728,0.974914721752738,1
1600010M07Rik,2.88381489059436,0.565082880431236,1.91283963144707,0.295415711354615,0.767676332667943,1
1600012H06Rik,382.650061230746,-0.140190626590238,0.15911663469804,-0.881055754203709,0.378287643704042,1
1600014C10Rik,1066.71934653889,0.0939113123669234,0.177950248919083,0.527739145841973,0.597680399295576,1
1600014C23Rik,6.13036682531106,-0.690543504593934,1.00088869480418,-0.689930367061478,0.49023797800106,1
1600020E01Rik,83.3345886476316,-0.401757502206938,0.349269113597862,-1.1502806476885,0.250028298851433,1
1600029O15Rik,1.58600040229341,-2.24467374492442,2.55649369438867,-0.878028273588678,0.37992837536528,1
1700001G11Rik,6.0537773432068,-0.183026257130099,1.01493884269175,-0.180332301249492,0.856891698600322,1
1700001G17Rik,2.40009510923462,0.253546621281593,2.28503514557871,0.11095961555435,0.911648371036033,1
1700001J03Rik,1.73481215726049,2.94346108134723,2.07364840192454,1.41946005823139,0.155764933629524,1
1700001K19Rik,26.3540005452377,-0.0345408234616259,0.521743873679847,-0.0662026431053427,0.947216492499493,1
1700001K23Rik,2.96519150037856,0.215777642099696,1.44621318882678,0.14920182153417,0.881394382706198,1
1700001L05Rik,12.6777381133017,0.15319158117743,0.770540832845175,0.198810464867617,0.842411009621223,1
1700001O22Rik,5.17791842046362,-0.812561072221539,1.23687670670597,-0.656945892679585,0.511215707903849,1
1700003E16Rik,30.3630862839293,-0.0205925983494577,0.533081550487356,-0.0386293585486713,0.969185895019148,1
1700003F12Rik,3.21902135352608,-3.11821958980319,2.4458214071847,-1.27491712217552,0.202338578022846,1
1700003N22Rik,2.28939544702238,-0.428067262515938,1.90438786516624,-0.224779452939105,0.822150851246356,1
