,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0610005C13Rik,6.28040937061498,-0.788835050501918,1.00072859582795,-0.788260727024871,0.430544214531383,NA
0610009B22Rik,529.513851891921,-0.0275504185757443,0.234300806052334,-0.117585675610483,0.906395955406644,0.987800743440553
0610009E02Rik,11.6687076506191,1.07457692716733,0.806099902117729,1.33305676423515,0.18251317641647,NA
0610009L18Rik,148.100071091238,0.205383774897445,0.317030294587414,0.647836432050549,0.517090748970317,0.90100659241616
0610010F05Rik,440.703186102702,-0.10158206705021,0.2353889431043,-0.431549866831254,0.666068601946881,0.94980529012716
0610010K14Rik,5.85795469438202,0.877140798262466,0.893311606773957,0.981897908424263,0.326150146295721,NA
0610012D04Rik,6.93844838097508,-2.77448894997193,1.2001349100019,-2.31181421925934,0.0207879234867485,NA
0610012G03Rik,1823.70436845688,0.390335906084137,0.201738733222143,1.9348585165067,0.0530076599779453,0.42451164309093
0610025J13Rik,21.27986406442,-0.138427982347522,0.550439442030235,-0.25148630671695,0.80143814774019,0.974972809616854
0610030E20Rik,320.399428359721,0.116008740648998,0.224163411853372,0.517518624872111,0.604794170892201,0.932874274471514
0610038B21Rik,18.5041216353414,-0.395896345722742,0.681108803574809,-0.581252721510682,0.561070139707803,0.917796779202369
0610039K10Rik,3.20213126356783,1.56448931542783,1.97348842071235,0.792753227740304,0.427921611913803,NA
0610040B10Rik,55.1962089229994,-0.0802024900062377,0.39663437528126,-0.2022076123618,0.839754422250621,0.979612820553734
0610040J01Rik,96.0663460140791,-0.956417527817302,0.504699727114692,-1.89502287485873,0.0580893712152022,0.440740124083377
0610043K17Rik,4.95043895423026,-0.121182621457798,1.32300145062175,-0.0915967411833509,0.927018440725762,NA
1010001B22Rik,8.97234511044076,-0.200054147730604,0.897203578571605,-0.22297520039889,0.823554807842491,NA
1110002E22Rik,3334.94263460586,-0.291592724871463,0.185469744757566,-1.57218486094653,0.115907685376125,0.597593357507275
1110002J07Rik,2.17690855841137,1.45690018855011,1.66656943273382,0.874191113754097,0.382014184540552,NA
1110002L01Rik,67.1506175156374,-0.196302015891859,0.354265707253422,-0.554109562039644,0.579503866495916,0.925039414171076
1110002O04Rik,11.0044611250259,1.32287163915466,0.9211024754908,1.43618291596685,0.150950298999775,NA
1110003F10Rik,1.43284141095,-0.906800608416892,1.91528630598483,-0.473454337131398,0.635889071381709,NA
1110004F10Rik,1190.35814316622,-0.124748434780285,0.135255236516986,-0.922318706415623,0.356362359345388,0.829729785045707
1110006O24Rik,5.1222410812376,0.407824691718124,1.00074074333322,0.407522821904661,0.683624035793653,NA
1110008P14Rik,389.582979015625,0.44185080212308,0.278522092007822,1.58641204702236,0.11264586938698,0.590909684159762
1110012L19Rik,231.20883875938,0.000998307708835035,0.263228058862273,0.00379255810778658,0.996973983693967,1
1110013H19Rik,8.23985280978762,-0.100238080024906,1.48530408771219,-0.0674865711702861,0.946194352306273,NA
1110018N20Rik,47.3383753510165,0.215026023741088,0.37161283351364,0.578629165489235,0.562839420913569,0.918230887092321
1110019D14Rik,118.172318056751,-0.170270402349849,0.300421008289485,-0.56677262126015,0.570868674136401,0.921500418459191
1110020A21Rik,23.8377927128634,0.672169905080598,0.765446398948836,0.878141050769418,0.379867177865804,0.843465864490831
1110025M09Rik,9.31246312030023,-1.508308933454,1.06062944832943,-1.4220884926679,0.155000562955966,NA
1110032A03Rik,254.607087148658,-0.258719440574425,0.235315336689291,-1.09945847225435,0.271568138166029,0.777414633451363
1110032F04Rik,4.81699952013962,-2.75194495310585,1.27385367383913,-2.16033050704487,0.0307470929216428,NA
1110035H17Rik,1.91523070474743,-0.052124698406086,1.84982727887458,-0.0281781434414776,0.977520069308581,NA
1110038B12Rik,36.3384464191333,-0.0553794619520409,0.406572306444105,-0.136210610202135,0.89165478761609,0.986829029388654
1110038F14Rik,263.705260331075,0.0983378754108043,0.207981823054869,0.472819566471735,0.636341913307328,0.941106462141111
1110046J04Rik,25.4129778738745,0.106791895842512,0.644482630971572,0.16570174386472,0.868391673623857,0.984317238304585
1110051M20Rik,271.631875137484,-0.363477105205908,0.198658866813657,-1.82965457840274,0.0673016069303222,0.475829772632654
1110059E24Rik,302.209791390438,-0.225232605555727,0.27943059992677,-0.806041305478906,0.420219032825536,0.860626181485415
1110059G10Rik,285.007261769861,-0.263276733936618,0.298725208529542,-0.881334170733642,0.378136976317792,0.841958052622528
1110065P20Rik,146.22925163909,0.638293647141992,0.421882090253726,1.51296692106108,0.130288061496086,0.624240238596915
1190005I06Rik,4.24476137419039,-0.670446775514005,1.44450216229359,-0.464136913751283,0.642549656158055,NA
1190007I07Rik,272.786403780451,0.511815076308687,0.231689717522461,2.2090539096068,0.0271708914242511,0.30023210883872
1200007C13Rik,7.99404833084179,1.34211631360803,0.879448993339754,1.52608772512351,0.126988018621514,NA
1300002E11Rik,113.025629575356,-0.28045384581039,0.299327524720151,-0.936946397003062,0.348786131393267,0.825720087183959
1300014J16Rik,6.60005541937207,-0.0865999373067057,1.16956284470988,-0.074044706275008,0.940974812406549,NA
1500002C15Rik,9.87897752289401,-0.700254912251776,0.945650214358978,-0.740500981884146,0.458996065612994,NA
1500002F19Rik,17.1247499732851,0.0321048219520211,0.975097512641881,0.0329247296150289,0.973734612102913,0.997937943843274
1500004A13Rik,40.2464951181743,-0.147744127861309,0.39501393414915,-0.374022572594929,0.70838752249539,0.960697160200702
1500009L16Rik,110.491568172004,1.2072292230931,0.401295668964895,3.00832856284503,0.0026268896565379,0.0737522269134212
1500011B03Rik,49.065471881644,0.0608702884758976,0.344799165883403,0.176538386686473,0.859870994010454,0.983843714277917
1500012K07Rik,1.94508939149266,3.78826609530658,2.80409732302645,1.35097525474541,0.176703359566359,NA
1500015A07Rik,37.9783305398169,-0.00454456771995477,0.400196140761234,-0.0113558509367689,0.990939536595731,0.999817102578494
1500026H17Rik,15.3540734455983,-0.194856406821015,0.644952931847599,-0.302125003545312,0.762556772474684,0.968234970189936
1600010M07Rik,2.88381489059436,0.00952637184347645,1.87740420604339,0.00507422525890318,0.995951371381747,NA
1600012H06Rik,382.650061230746,0.00391295141781295,0.1582998009201,0.0247186123739218,0.980279409088535,0.998809176086921
1600014C10Rik,1066.71934653889,-0.146179011445053,0.177588082526954,-0.823135254151221,0.410431082795785,0.85731448116601
1600014C23Rik,6.13036682531106,1.04199774343819,0.975861500030337,1.06777216173176,0.285623298328059,NA
1600020E01Rik,83.3345886476316,0.0245016199729268,0.349522518463433,0.0701002615815443,0.944113858504336,0.992767211360134
1600029O15Rik,1.58600040229341,2.11428062369751,2.54945070790107,0.829308296546034,0.406929977408389,NA
1700001G11Rik,6.0537773432068,0.078922311182325,1.0065411917819,0.078409420127762,0.937502380424597,NA
1700001G17Rik,2.40009510923462,-0.473264341844643,2.28011004762297,-0.207562061461913,0.835570929735844,NA
1700001J03Rik,1.73481215726049,-0.842054323499321,1.8076866078451,-0.46581875411641,0.641345239906251,NA
1700001K19Rik,26.3540005452377,-0.47570333253864,0.524305309179005,-0.907302146689171,0.364247039299099,0.833827573623936
1700001K23Rik,2.96519150037856,-0.316091241094271,1.42704247799943,-0.221500933551325,0.824702409782691,NA
1700001L05Rik,12.6777381133017,0.00140220065226285,0.756003708042235,0.00185475367031469,0.998520121530855,NA
1700001O22Rik,5.17791842046362,-1.24485169150755,1.35089719809132,-0.921499943346094,0.356789470797489,NA
1700003E16Rik,30.3630862839293,-1.80992330102546,0.55912215461594,-3.23708028037038,0.00120759434561201,0.0438962065529645
1700003F12Rik,3.21902135352608,4.10206951948794,2.41305128479232,1.69995123822699,0.0891400978967749,NA
1700003N22Rik,2.28939544702238,-1.47930136076102,1.99743115391361,-0.740601926560818,0.458934839546005,NA
1700007J10Rik,6.98556946568017,-0.112918240074744,1.12059063724681,-0.10076671740911,0.919735647982575,NA
1700007L15Rik,34.9105723818896,0.574396202763011,0.463398622483709,1.23952937038177,0.215149518869593,0.727465488942618
1700008B11Rik,2.58072706503813,0.0618814599864352,1.70063450769498,0.0363872776345745,0.970973558439485,NA
1700008J07Rik,29.7745695313403,-0.46168733174873,0.756855320778284,-0.610007380636461,0.541856918426727,0.910506178274813
1700010G06Rik,2.34776008347692,2.75405968112452,1.93213777427479,1.42539508196212,0.154043028898885,NA
1700010I14Rik,1.77974532412447,-0.779388719890301,2.22132742172456,-0.35086620381484,0.725688727021295,NA
1700012D14Rik,21.8846065619937,0.35337892808325,0.583293543135735,0.605833773135077,0.544625140451936,0.912000592365154
1700016J18Rik,1.49408050002804,0.0261079210629563,2.14468565645851,0.012173308934265,0.990287344633569,NA
1700017B05Rik,307.065711041916,0.736210272244114,0.320255143753263,2.29882419253605,0.0215149244684492,0.266869631595429
1700017M07Rik,7.02763488499887,-1.19772053757512,0.951016429876229,-1.25941098381549,0.207881924166794,NA
1700018L02Rik,14.7507851921369,0.590238923016822,0.733797829039202,0.804361773309756,0.421188071390066,0.860686074515724
1700019D03Rik,45.8657483742957,-0.383924382343668,0.493662272192617,-0.777706549537308,0.436742030175418,0.867434864391931
1700020D05Rik,3.20869930694977,-0.231712832235967,1.89029214802106,-0.122580434182381,0.902439348841885,NA
1700020L24Rik,22.1496698682534,0.61466426126218,0.538978482745457,1.14042448991877,0.254109494800531,0.763597658445537
1700021F13Rik,2.83131945710174,-4.18893371251668,2.73464238941604,-1.53180310841711,0.12557102878623,NA
1700022H01Rik,1.95902967790686,0.846911718852084,2.64017820431321,0.320778240449262,0.748378450293031,NA
1700022N22Rik,5.38863129418326,-0.168765106241849,0.995475246192521,-0.169532197698877,0.865378048785452,NA
