,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0610005C13Rik,6.28040937061498,-0.309310075216263,1.03112157690368,-0.299974398892011,0.764196683598382,NA
0610009B22Rik,529.513851891921,-0.595598185593061,0.233714291386308,-2.54840293274403,0.0108217398004627,0.0562664583841409
0610009E02Rik,11.6687076506191,0.842545999267767,0.806761089998211,1.04435626570641,0.296320589819361,NA
0610009L18Rik,148.100071091238,0.343162958770145,0.319235167986206,1.07495349254557,0.282395550822389,0.482874834994008
0610010F05Rik,440.703186102702,-0.491189268779969,0.235087430101989,-2.08938975838425,0.0366726523986556,0.127602526706196
0610010K14Rik,5.85795469438202,1.67000939955574,0.960229352863513,1.73917761894654,0.0820035249573942,NA
0610012D04Rik,6.93844838097508,-1.87956277701153,1.23213560792943,-1.52545122867611,0.127146589433676,NA
0610012G03Rik,1823.70436845688,0.419992848951875,0.2019463008687,2.07972538811168,0.0375507280580381,0.129405585923085
0610025J13Rik,21.27986406442,-0.594755681353174,0.546862153240489,-1.08757879445284,0.276781096381578,0.476674678719169
0610030E20Rik,320.399428359721,0.293061016971541,0.225698073216888,1.29846485968854,0.194127643995038,0.382433697743396
0610038B21Rik,18.5041216353414,-0.408769661653996,0.685725919578941,-0.596112309572597,0.55110020135207,NA
0610039K10Rik,3.20213126356783,0.386512547612935,1.93256454035184,0.199999813482331,0.84148072699454,NA
0610040B10Rik,55.1962089229994,-1.00870105950734,0.389980372478481,-2.58654314599641,0.00969440324550433,0.0525235233729466
0610040J01Rik,96.0663460140791,0.452966939452815,0.514178449829736,0.880952789061481,0.378343373497192,0.578329103419357
0610043K17Rik,4.95043895423026,0.0799402786849468,1.33754438699643,0.0597664492200216,0.952341647432793,NA
1010001B22Rik,8.97234511044076,0.608065796942947,0.937061863727871,0.648906780310007,0.516398631912182,NA
1110002E22Rik,3334.94263460586,-0.716732380595137,0.185410131221106,-3.86565920575514,0.000110789550145681,0.00264193440347397
1110002J07Rik,2.17690855841137,0.926044432212006,1.63923370725847,0.564925201398382,0.572124641460389,NA
1110002L01Rik,67.1506175156374,0.133625224804693,0.360513578149023,0.370652405079337,0.710896444267374,0.833006518692171
1110002O04Rik,11.0044611250259,-1.12217394866264,0.851627282806864,-1.31768200868822,0.187610119721587,NA
1110003F10Rik,1.43284141095,2.07085090275488,2.20197686021867,0.94045080135367,0.346986374458089,NA
1110004F10Rik,1190.35814316622,-0.100764485134798,0.135671092628805,-0.742711532592202,0.457656346052302,0.6488140098413
1110006O24Rik,5.1222410812376,0.193073008297803,1.002491638911,0.192593135746786,0.847277621167254,NA
1110008P14Rik,389.582979015625,0.152591764173883,0.278437418191781,0.548028943684506,0.583672029065229,0.746400992526653
1110012L19Rik,231.20883875938,-0.465426033749604,0.262392514006295,-1.77377786676657,0.0760999005608234,0.209431831070109
1110013H19Rik,8.23985280978762,-0.345306418319013,1.4854844157023,-0.232453746851165,0.816185607976445,NA
1110018N20Rik,47.3383753510165,-0.0813929009432395,0.370918246768641,-0.219436227935176,0.82631025183266,0.903029289419464
1110019D14Rik,118.172318056751,-1.00000037994575,0.296831793246485,-3.36891263906949,0.000754653435490504,0.00938269749093926
1110020A21Rik,23.8377927128634,-1.47461628455441,0.737777184735342,-1.99872849833841,0.0456377377908043,0.147561298905241
1110025M09Rik,9.31246312030023,-0.505221671751648,1.08661552640386,-0.464949800067438,0.641967406321657,NA
1110032A03Rik,254.607087148658,-0.763803258282343,0.234350664474843,-3.25923231322579,0.00111714148915711,0.012217707588691
1110032F04Rik,4.81699952013962,-2.37261701875153,1.29700748741758,-1.82930094218311,0.0673545376021472,NA
1110035H17Rik,1.91523070474743,-1.38497312647004,1.78883851334234,-0.77423038253034,0.438794564260601,NA
1110038B12Rik,36.3384464191333,-0.0472389367178791,0.41089371396245,-0.114966316379803,0.908471820607697,0.950549775596863
1110038F14Rik,263.705260331075,0.0409581561989208,0.208868764663721,0.196095171362092,0.844535675586373,0.914400592013645
1110046J04Rik,25.4129778738745,-1.39365919947267,0.627248146282565,-2.22186260371163,0.0262925923504769,0.102208245199692
1110051M20Rik,271.631875137484,-0.308419076463743,0.199964991879792,-1.54236535887816,0.122984834576251,0.286085253600594
1110059E24Rik,302.209791390438,-1.02473488318265,0.277956067108272,-3.68667931534478,0.000227199367591402,0.00446041976834614
1110059G10Rik,285.007261769861,-1.10177171985169,0.297329897235404,-3.70555309135089,0.000210929939136988,0.0042384510123056
1110065P20Rik,146.22925163909,0.956165938520388,0.424751181977115,2.25112013595739,0.0243779294028527,0.0973691982930662
