,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0610005C13Rik,6.28040937061498,-0.921695340636409,0.997235070941434,-0.924250828609836,0.355355737291147,0.586247320784356
0610009B22Rik,529.513851891921,0.384476866192334,0.23399943910547,1.64306746914483,0.100368974614777,0.268038609274255
0610009E02Rik,11.6687076506191,-0.255154557187786,0.82615833674366,-0.308844619535631,0.757439725729218,0.87533626040482
0610009L18Rik,148.100071091238,-0.257218621352907,0.321232030269471,-0.800725323490111,0.423290678927865,0.645196653905619
0610010F05Rik,440.703186102702,0.303424011305591,0.235482748519266,1.28851906652842,0.19756533613315,0.412911653125634
0610010K14Rik,5.85795469438202,-0.579111841537813,1.01161150853037,-0.572464663217525,0.567007219010357,0.753720869738863
0610012D04Rik,6.93844838097508,-1.0141296540022,1.08677872175241,-0.933151922929564,0.350741533636649,0.58161621151971
0610012G03Rik,1823.70436845688,-0.126594467087958,0.202325916305165,-0.625695755639222,0.53151451771522,0.729004265950179
0610025J13Rik,21.27986406442,1.06759915078827,0.567749194668009,1.88040627941805,0.0600527284079808,0.191309831789181
0610030E20Rik,320.399428359721,-0.143895028597399,0.227249712154438,-0.633202248016968,0.526601577898739,0.725414005163747
0610038B21Rik,18.5041216353414,-0.302637961804828,0.678767688353807,-0.445863830876815,0.655695610299289,0.813656306713751
0610039K10Rik,3.20213126356783,2.10318152925052,2.09441689326641,1.00418476188398,0.315289565568014,NA
0610040B10Rik,55.1962089229994,1.02646900166637,0.395037206582319,2.59841094601419,0.00936563347041344,0.0523303969951433
0610040J01Rik,96.0663460140791,-1.0220802591623,0.513072299784919,-1.9920784255762,0.0463624537000225,0.16102310893155
0610043K17Rik,4.95043895423026,0.972858425826632,1.40090012087408,0.694452381958272,0.487398553411798,NA
1010001B22Rik,8.97234511044076,-1.20293990807374,0.931020615663333,-1.29206581233077,0.196334354146614,0.411521840505512
1110002E22Rik,3334.94263460586,0.534286599392734,0.185484508915229,2.88049175921703,0.00397055331869232,0.0278007841578008
1110002J07Rik,2.17690855841137,-0.258542404083147,1.69238999122315,-0.152767627688633,0.878581527388603,NA
1110002L01Rik,67.1506175156374,-0.439986537306083,0.360910191673723,-1.21910255641616,0.222805269744118,0.44346765948948
1110002O04Rik,11.0044611250259,1.63745453709315,0.879331063872719,1.86215932129308,0.0625806364024784,0.197135033630851
1110003F10Rik,1.43284141095,-0.78150049257184,2.36821110788952,-0.32999612659882,0.741402888867736,NA
1110004F10Rik,1190.35814316622,-0.0543236916007215,0.135956476598237,-0.399566780192846,0.68947562825598,0.835785352291615
1110006O24Rik,5.1222410812376,0.384804629887529,1.0449032315921,0.368268197717419,0.712673263311525,NA
1110008P14Rik,389.582979015625,0.16503941218693,0.279828995473005,0.589786672778345,0.55533367870772,0.746197538193671
1110012L19Rik,231.20883875938,0.205329376070891,0.262752086381833,0.781456691356222,0.434533939214405,0.654764550434682
1110013H19Rik,8.23985280978762,-0.433118444517398,1.47745935369725,-0.293150835881573,0.769406861263143,0.883172981449914
1110018N20Rik,47.3383753510165,-0.324481943352796,0.370214875358032,-0.876469220851789,0.380775001872359,0.609068633755131
1110019D14Rik,118.172318056751,0.700613938909364,0.29723103048161,2.35713592142161,0.0184165045605727,0.0845762452417985
1110020A21Rik,23.8377927128634,1.68247120853059,0.748283221670663,2.24844171271701,0.0245480378766744,0.103517119227689
1110025M09Rik,9.31246312030023,0.0811784658983787,1.08413096599616,0.0748788370082089,0.940311114898627,0.970685657207671
1110032A03Rik,254.607087148658,0.236404941988532,0.233570242089358,1.01213639149327,0.311472844456366,0.541673176685154
1110032F04Rik,4.81699952013962,-0.777972446587426,1.04938421761345,-0.741360917697733,0.458474634564327,NA
1110035H17Rik,1.91523070474743,2.31721893032509,1.94371212156471,1.19216158844536,0.233197891590751,NA
1110038B12Rik,36.3384464191333,-0.120024859138412,0.413703147232543,-0.290123147337204,0.771722027983097,0.884119779441613
1110038F14Rik,263.705260331075,-0.0315139434010561,0.210357376066219,-0.149811449402828,0.880913375989122,0.942265325085352
1110046J04Rik,25.4129778738745,1.42417081464458,0.635021237034396,2.24271367882999,0.0249152839800701,0.104392613477746
1110051M20Rik,271.631875137484,0.019428529231198,0.200242439910535,0.0970250324550497,0.922706515207531,0.96333651855121
1110059E24Rik,302.209791390438,0.436016936781062,0.277175682659598,1.5730706698269,0.115702455465085,0.2930103282058
1110059G10Rik,285.007261769861,1.18936200111418,0.298978980021957,3.9780789974828,6.94742914518544e-05,0.00119940358072478
1110065P20Rik,146.22925163909,-0.554682045690409,0.42714304631433,-1.29858615392798,0.194085992230794,0.408485052392025
1190005I06Rik,4.24476137419039,-1.34057019321734,1.50088577094422,-0.893186023326728,0.371757561610415,NA
1190007I07Rik,272.786403780451,0.300231565532983,0.232854192877548,1.28935434583678,0.197274925493479,0.412594058704476
1200007C13Rik,7.99404833084179,2.80210654577537,0.928544713846396,3.01774002262955,0.00254667277476678,0.0198832632257221
1300002E11Rik,113.025629575356,0.0630204581255606,0.302994517983348,0.207992073734562,0.835235156266436,0.92072496399921
1300014J16Rik,6.60005541937207,-2.08936906173165,1.36833267563176,-1.52694523703235,0.126774629476353,0.310275212171991
1500002C15Rik,9.87897752289401,-0.91849289009297,0.914535749339142,-1.00432693938612,0.315221052806141,0.545406814724056
1500002F19Rik,17.1247499732851,2.61342778414779,0.923869796981957,2.82878365835227,0.00467252730887483,0.031527506798512
1500004A13Rik,40.2464951181743,-0.917118647935792,0.408144258708811,-2.24704532372243,0.024637130666476,0.10378573802273
1500009L16Rik,110.491568172004,2.74490825806401,0.410443006800034,6.6876721313011,2.26748434718987e-11,2.96568812737658e-09
1500011B03Rik,49.065471881644,-0.15704159408655,0.355218294145529,-0.442098835208672,0.658417687244688,0.815304913183625
1500012K07Rik,1.94508939149266,4.73792534971804,2.78428295037307,1.70166805391787,0.0888176122383778,NA
1500015A07Rik,37.9783305398169,0.401646714284181,0.403719275314987,0.994866331241707,0.319801279963394,0.549881687536446
1500026H17Rik,15.3540734455983,0.0963822989083998,0.651446162967162,0.147951288053343,0.882381211547401,0.942819198916345
1600010M07Rik,2.88381489059436,-1.75802894478948,2.11241246705761,-0.83223753514305,0.40527488102886,NA
1600012H06Rik,382.650061230746,-0.0299023832457996,0.159689130657643,-0.18725371678494,0.851461709701784,0.928284041872131
